CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO,
ES0031405462253006LB0F;04/05/2022;20;0,034;;;R
ES0031405462253006LB0F;04/05/2022;21;0,072;;;R
ES0031405462253006LB0F;04/05/2022;22;0,061;;;R
ES0031405462253006LB0F;04/05/2022;23;0,035;;;R
ES0031405462253006LB0F;04/05/2022;24;0,118;;;R
ES0031405462253006LB0F;05/05/2022;1;0,145;;;R
ES0031405462253006LB0F;05/05/2022;2;0,075;;;R
ES0031405462253006LB0F;05/05/2022;3;0,061;;;R
ES0031405462253006LB0F;05/05/2022;4;0,078;;;R
ES0031405462253006LB0F;05/05/2022;5;0,032;;;R
ES0031405462253006LB0F;05/05/2022;6;0,069;;;R
ES0031405462253006LB0F;05/05/2022;7;0,091;;;R
ES0031405462253006LB0F;05/05/2022;8;0,274;;;R
ES0031405462253006LB0F;05/05/2022;9;0,148;;;R
ES0031405462253006LB0F;05/05/2022;10;0,047;;;R
ES0031405462253006LB0F;05/05/2022;11;0,362;;;R
ES0031405462253006LB0F;05/05/2022;12;0,157;;;R
ES0031405462253006LB0F;05/05/2022;13;0,094;;;R
ES0031405462253006LB0F;05/05/2022;14;0,437;;;R
ES0031405462253006LB0F;05/05/2022;15;0,127;;;R
ES0031405462253006LB0F;05/05/2022;16;0,12;;;R
ES0031405462253006LB0F;05/05/2022;17;0,082;;;R
ES0031405462253006LB0F;05/05/2022;18;0,119;;;R
ES0031405462253006LB0F;05/05/2022;19;0,069;;;R
ES0031405462253006LB0F;05/05/2022;20;0,097;;;R
ES0031405462253006LB0F;05/05/2022;21;0,528;;;R
ES0031405462253006LB0F;05/05/2022;22;0,16;;;R
ES0031405462253006LB0F;05/05/2022;23;0,114;;;R
ES0031405462253006LB0F;05/05/2022;24;0,073;;;R
ES0031405462253006LB0F;06/05/2022;1;0,074;;;R
ES0031405462253006LB0F;06/05/2022;2;0,055;;;R
ES0031405462253006LB0F;06/05/2022;3;0,047;;;R
ES0031405462253006LB0F;06/05/2022;4;0,074;;;R
ES0031405462253006LB0F;06/05/2022;5;0,045;;;R
ES0031405462253006LB0F;06/05/2022;6;0,063;;;R
ES0031405462253006LB0F;06/05/2022;7;0,067;;;R
ES0031405462253006LB0F;06/05/2022;8;0,074;;;R
ES0031405462253006LB0F;06/05/2022;9;0,746;;;R
ES0031405462253006LB0F;06/05/2022;10;0,444;;;R
